index,Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
1083,10/19/2021 0:00,4561,0.756739897,0.2300121,1.302747961,0.596618297,2010,144.403298
285,8/13/2019 0:00,4022,0.247303549,0.01866806,1.189568873,0.399031575,999,73.747045
449,1/24/2020 0:00,3137,0.156433544,0.036207003,1.032869612,0.235398891,1480,111.334855
9,11/10/2018 0:00,2983,0.081713921,0.060533417,0.955554313,0.215673849,718,47.652507
845,2/23/2021 0:00,6114,0.580370995,0.600094149,1.298336512,0.789308401,2170,148.383786
196,5/16/2019 0:00,4727,0.158609143,0.081702736,1.245267137,0.579304976,670,49.070691
704,10/5/2020 0:00,4203,0.080049171,0.001939781,1.199752821,0.605439995,1930,136.460935
370,11/6/2019 0:00,3873,0.147046047,0.022836095,1.273832242,0.387950738,1370,91.784738
81,1/21/2019 0:00,3103,0.029302182,0.059689529,0.943183713,0.216858691,588,40.467001
819,1/28/2021 0:00,5045,0.362424736,0.380937154,1.315946407,0.610235411,2080,148.549581
572,5/26/2020 0:00,4371,0.040013156,0.03983207,1.307555581,0.437337298,1510,90.293242
721,10/22/2020 0:00,5021,0.118119188,0.145736315,1.283932423,0.369402753,2000,137.413336
239,6/28/2019 0:00,4412,0.281710488,0.125605741,1.255488209,0.653448652,793,57.552683
530,4/14/2020 0:00,3213,0.131398858,0.04570406,0.988374018,0.507177555,1470,114.921002
211,5/31/2019 0:00,5221,0.122663696,0.084095197,1.291766803,0.449191941,746,53.517351
830,2/8/2021 0:00,4775,0.58279141,0.152234091,1.386773296,0.756719811,2140,158.947631
881,3/31/2021 0:00,5565,0.781824063,0.151608376,1.345339949,0.613708974,2190,164.128361
558,5/12/2020 0:00,4305,0.05673637,0.157559675,1.279955788,0.441773058,1610,121.087435
227,6/16/2019 0:00,4076,0.143225339,0.02695349,1.175121715,0.327229557,741,55.195585
989,7/17/2021 0:00,3137,0.316755287,0.062460747,0.784945664,0.407468705,1430,101.59056
602,6/25/2020 0:00,4155,0.050822865,0.048308198,1.253759667,0.29587096,1580,110.861799
465,2/9/2020 0:00,3083,0.199733991,0.01585161,0.951914072,0.337399577,1550,109.282833
919,5/8/2021 0:00,4303,0.834537396,0.188515925,1.310903526,0.847782898,2060,175.207666
177,4/27/2019 0:00,4045,0.058875561,0.100788854,1.170310445,0.234673351,635,45.158439
1051,9/17/2021 0:00,4275,0.534187068,0.075810765,1.224006599,0.522457495,1840,135.482517
628,7/21/2020 0:00,4909,0.046999601,0.010933103,1.290345384,0.670019306,1730,115.544421
493,3/8/2020 0:00,2974,0.168446421,0.010691884,0.869396677,0.460674472,1550,123.287363
673,9/4/2020 0:00,4857,0.077548034,0.106106057,1.300009081,0.564552843,1760,126.308447
430,1/5/2020 0:00,2895,0.142211798,0.007834688,0.790838368,0.330922651,1380,105.793195
682,9/13/2020 0:00,3250,0.084392767,0.010258279,0.938489469,0.680374603,1730,135.233596
567,5/21/2020 0:00,4399,0.063356869,0.065089171,1.295657931,0.230983372,1510,93.625665
7,11/8/2018 0:00,3551,0.069349719,0.075410286,1.169965612,0.292526624,718,50.150957
1031,8/28/2021 0:00,3732,0.516348401,0.091303689,0.933237397,0.53914025,1760,130.869363
155,4/5/2019 0:00,4062,0.077607208,0.142413566,1.240968854,0.502002242,638,45.302144
852,3/2/2021 0:00,5381,0.607919003,0.297582502,1.309441853,0.772691038,2170,154.118956
357,10/24/2019 0:00,3639,0.104993387,0.061877446,1.091473233,0.319382512,1370,101.132725
696,9/27/2020 0:00,3394,0.080083487,0.007309669,1.01567023,0.681981379,1930,138.914906
223,6/12/2019 0:00,4725,0.124156936,0.029627433,1.260088069,0.45436414,746,55.411512
329,9/26/2019 0:00,3309,0.178469262,0.076934966,0.970737503,0.380802765,1200,89.338228
583,6/6/2020 0:00,2681,0.10344345,0.036192299,0.793185082,0.520909884,1370,109.091787
525,4/9/2020 0:00,3314,0.12680389,0.037335949,1.069383357,0.25584636,1470,104.926818
900,4/19/2021 0:00,6980,0.563052527,0.558955303,1.305400649,0.697085383,2360,150.787955
435,1/10/2020 0:00,3639,0.144026021,0.026192729,1.120475946,0.310493866,1380,108.770686
732,11/2/2020 0:00,5369,0.082589485,0.017842124,1.326538305,0.652502024,2000,108.779984
720,10/21/2020 0:00,4866,0.091323495,0.045004611,1.297150062,0.541187644,2000,139.371646
629,7/22/2020 0:00,4796,0.067523034,0.028225082,1.260738632,0.481685558,1730,113.203969
481,2/25/2020 0:00,3624,0.174238571,0.028707964,1.064563583,0.433514978,1550,110.625513
850,2/28/2021 0:00,4581,0.473202327,0.118259441,1.364487969,0.825998007,2170,156.124508
1050,9/16/2021 0:00,4741,0.487132531,0.068121003,1.506390096,0.298094289,1840,135.613292
823,2/1/2021 0:00,5757,0.33679089,0.105065416,1.313160675,0.91160553,2080,150.835174
934,5/23/2021 0:00,4641,0.321532996,0.202286315,1.37997195,0.516075543,2500,145.139315
613,7/6/2020 0:00,4028,0.064989833,0.008004882,1.227644104,0.619732827,1580,123.413264
1035,9/1/2021 0:00,4757,0.490014448,0.074671457,1.256872029,0.412036806,1760,127.249993
677,9/8/2020 0:00,4277,0.079590941,0.040364033,1.249473174,0.571549791,1730,128.038751
951,6/9/2021 0:00,4593,0.3233589,0.275584284,1.067569262,0.427242013,2100,150.516054
773,12/13/2020 0:00,3610,0.198594486,0.047251142,1.174223994,0.686681821,1910,131.826543
163,4/13/2019 0:00,3959,0.056236778,0.068625899,1.107431615,0.230827676,639,46.112957
228,6/17/2019 0:00,4924,0.15911088,0.083968039,1.233756692,0.495677897,741,54.248596
482,2/26/2020 0:00,3843,0.145186636,0.028035657,1.163531007,0.417696332,1550,109.924844
844,2/22/2021 0:00,5532,0.638877697,0.154864846,1.334959,0.810275892,2170,150.85001
212,6/1/2019 0:00,3907,0.169970903,0.047226714,1.244086252,0.417649623,746,52.430641
886,4/5/2021 0:00,4724,0.762148698,0.06917303,1.40872141,0.702987793,2310,161.456162
79,1/19/2019 0:00,3138,0.022358316,0.053004423,0.95912206,0.140021486,588,39.32194
148,3/29/2019 0:00,4070,0.041597673,0.014894937,1.233981333,0.395162546,638,46.111636
302,8/30/2019 0:00,3606,0.198121197,0.041731166,1.0054113,0.36347076,1020,76.3675
950,6/8/2021 0:00,4332,0.357778116,0.139778238,1.286348819,0.47625179,2100,149.469766
442,1/17/2020 0:00,3144,0.17371608,0.027815599,0.968857566,0.281719811,1480,106.142031
589,6/12/2020 0:00,3656,0.068865464,0.093617994,1.355473221,0.461781466,1370,117.511415
528,4/12/2020 0:00,2713,0.114998838,0.01077749,0.80040198,0.425896805,1470,110.999327
43,12/14/2018 0:00,3056,0.017425453,0.104526141,1.05868513,0.240399826,565,34.844946
887,4/6/2021 0:00,5756,0.717815905,0.118777372,1.343027368,0.846143427,2310,163.641577
133,3/14/2019 0:00,3301,0.038857958,0.042410862,1.043826619,0.375040481,607,42.333452
855,3/5/2021 0:00,5329,0.597960356,0.238831273,1.323912208,0.643618048,2170,151.187765
495,3/10/2020 0:00,4033,0.114461527,0.062439714,1.299547803,0.339311515,1660,121.936056
582,6/5/2020 0:00,3360,0.091469709,0.049795943,1.042586804,0.490771937,1370,105.288528
311,9/8/2019 0:00,2630,0.251348267,0.012574297,0.70717213,0.197231737,1080,81.381519
408,12/14/2019 0:00,2987,0.121281548,0.008624475,0.902877417,0.257093479,1290,92.907582
552,5/6/2020 0:00,3977,0.211178275,0.049739008,1.210363383,0.561691163,1610,119.472293
707,10/8/2020 0:00,3997,0.098247587,0.024416998,1.22370558,0.360221399,1930,135.725586
554,5/8/2020 0:00,4487,0.180188418,0.15009427,1.274328599,0.407426667,1610,122.164633
911,4/30/2021 0:00,4893,0.724755876,0.175012668,1.388769759,0.678920409,2360,157.586132
973,7/1/2021 0:00,6221,0.23595045,0.120488165,1.392820968,0.244943016,1990,89.036245
0,11/1/2018 0:00,2851,0.102640914,0.065511434,0.979455208,0.303509373,718,51.977956
422,12/28/2019 0:00,3140,0.119621486,0.014673453,0.889533174,0.217321106,1290,96.827573
360,10/27/2019 0:00,3609,0.122016261,0.199559798,1.102331948,0.200278695,1370,99.339895
382,11/18/2019 0:00,3376,0.136370977,0.005492105,1.019047664,0.311972971,1270,94.847234
316,9/13/2019 0:00,3497,0.198351246,0.028257981,1.069618267,0.368733263,1100,88.354012
1046,9/12/2021 0:00,3252,0.505965561,0.033991594,0.835119109,0.535565485,1840,134.785023
817,1/26/2021 0:00,4460,0.40451579,0.220598865,1.360394143,0.901226879,2080,146.182104
634,7/27/2020 0:00,4278,0.085195012,0.045611004,1.28513553,0.591444541,1730,124.043957
781,12/21/2020 0:00,4351,0.246756623,0.087229386,1.3453685,0.512486766,1870,135.635056
615,7/8/2020 0:00,4258,0.060955737,0.022062391,1.247866834,0.453274273,1580,125.990398
1049,9/15/2021 0:00,4390,0.508045074,0.074257528,1.331678662,0.391975462,1840,135.601927
506,3/21/2020 0:00,3657,0.068966529,0.112828475,1.108333782,0.309706047,1660,94.627786
