Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
3/17/2019 0:00,2564,7297849,184298451,0.742798205,413098,6070000000000,44263925
3/18/2019 0:00,3109,8269487,105693359,0.926942733,533680,6070000000000,44692661
3/19/2019 0:00,2968,8830120,115735520,0.909794954,551374,6070000000000,45511523
3/20/2019 0:00,3113,8742662,103002102,0.992002373,538723,6070000000000,46847562
3/21/2019 0:00,3442,7388901,147543802,1.039646357,535702,6070000000000,47968111
3/22/2019 0:00,3173,8113657,166103502,0.944549,550986,6070000000000,47450935
3/23/2019 0:00,2797,7382484,67712124,0.840116655,450872,6070000000000,47795719
3/24/2019 0:00,2492,7499624,57296677,0.753646587,417726,6370000000000,47019955
3/25/2019 0:00,3506,7512796,48747234,1.056967818,530401,6380000000000,47511943
3/26/2019 0:00,4260,6780908,133869301,1.207859007,522961,6380000000000,47277877
3/27/2019 0:00,3966,7721975,77182620,1.199629819,569697,6380000000000,45849306
3/28/2019 0:00,4217,7609348,135317925,1.217287404,578059,6380000000000,45660542
3/29/2019 0:00,4070,7807463,72542414,1.233981333,563925,6380000000000,46111636
3/30/2019 0:00,4157,7321450,168998311,1.204920209,513840,6380000000000,45832268
3/31/2019 0:00,3993,7280100,104313151,1.173565871,459478,6380000000000,45880051
4/1/2019 0:00,4268,7260087,53646013,1.205358125,528288,6380000000000,45392748
4/2/2019 0:00,4190,9796335,178833231,1.215506975,666741,6380000000000,44849122
4/3/2019 0:00,4265,9794907,879572364,1.248329993,626468,6380000000000,45891072
4/4/2019 0:00,4129,9872137,963281105,1.2129581,603757,6380000000000,45573957
4/5/2019 0:00,4062,10526386,476408010,1.240968854,632546,6380000000000,45302144
4/6/2019 0:00,3762,9151290,335980019,1.211691266,478034,6380000000000,45800467
4/7/2019 0:00,3688,9465715,329404453,1.138896872,447559,6390000000000,45800760
4/8/2019 0:00,4039,10509444,382675686,1.218371115,579028,6390000000000,45905141
4/9/2019 0:00,4376,9214714,526197764,1.251238629,572096,6390000000000,46463227
4/10/2019 0:00,4315,10332305,411383523,1.213674912,593178,6390000000000,45343570
4/11/2019 0:00,4267,10673185,368160408,1.201692847,620631,6390000000000,45629843
4/12/2019 0:00,4131,10032845,363638963,1.184258404,578099,6390000000000,46415319
4/13/2019 0:00,3959,8912798,242714313,1.107431615,458376,6390000000000,46112957
4/14/2019 0:00,4036,8025831,106569785,1.196266385,430064,6390000000000,45944646
4/15/2019 0:00,4112,9812670,131452793,1.22713911,576183,6390000000000,45082049
4/16/2019 0:00,3957,9626719,203887934,1.25263491,560007,6390000000000,44945849
4/17/2019 0:00,4036,9679416,205894131,1.229380333,555678,6390000000000,45536047
4/18/2019 0:00,4030,10319254,242366222,1.214882,563075,6390000000000,45082049
